"export-plot data (NetLogo 6.4.0)"
"Traffic_improved_deep.nlogo"
"03/07/2025 01:24:08:293 +0100"

"MODEL SETTINGS"
"fp-ticks?","batch-size","memory-size","train?","stop-penalty","acceleration","fp-exp?","exploration-rate","number-of-cars","deceleration","exploration-decay-rate","discount","learning-rate"
"false","128","123000","true","0.027","0.0053","true","1","25","0.0056","0.01","0.9","0.0035"

"""Car speeds"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","5000","0","5","false","""min speed""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""min speed""","true","0","1","105","5000"
"""max speed""","true","0","1","55","5000"

"""min speed""",,,,"""max speed"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0.1191699899662011","105","true","0","0.9912155792956173","55","true"
"1","0.12340998996620109","105","true","1","0.9830011217887058","55","true"
"2","0.12340998996620109","105","true","2","0.9762811217887059","55","true"
"3","0.12340998996620109","105","true","3","0.9762811217887059","55","true"
"4","0.12340998996620109","105","true","4","0.9772753253394377","55","true"
"5","0.12764998996620108","105","true","5","0.9772753253394377","55","true"
"6","0.12646445405793444","105","true","6","0.9722353253394377","55","true"
"7","0.11974445405793444","105","true","7","0.9801853253394377","55","true"
"8","0.12398445405793443","105","true","8","0.9751453253394377","55","true"
"9","0.11820909458368564","105","true","9","0.9830953253394377","55","true"
"10","0.09120909458368565","105","true","10","0.9780553253394376","55","true"
"11","0.08448909458368564","105","true","11","0.9780553253394376","55","true"
"12","0.057489094583685646","105","true","12","0.9780553253394376","55","true"
"13","0.06172909458368565","105","true","13","0.9730153253394376","55","true"
"14","0.05500909458368565","105","true","14","0.9809653253394376","55","true"
"15","0.04828909458368565","105","true","15","0.9809653253394376","55","true"
"16","0.041569094583685656","105","true","16","0.9889153253394376","55","true"
"17","0.04580909458368566","105","true","17","0.9889153253394376","55","true"
"18","0.03908909458368566","105","true","18","0.9889153253394376","55","true"
"19","0.04332909458368566","105","true","19","0.9968653253394376","55","true"
"20","0.036609094583685664","105","true","20","0.9968653253394376","55","true"
"21","0.036609094583685664","105","true","21","0.9918253253394376","55","true"
"22","0.029889094583685664","105","true","22","0.9867853253394375","55","true"
"23","0","105","true","23","0.9817453253394375","55","true"
"24","0","105","true","24","0.9767053253394374","55","true"
"25","0.00424","105","true","25","0.9846553253394374","55","true"
"26","0.00424","105","true","26","0.9926053253394375","55","true"
"27","0.0030090945836856635","105","true","27","1","55","true"
"28","0","105","true","28","1","55","true"
"29","0","105","true","29","1","55","true"
"30","0","105","true","30","1","55","true"
"31","0","105","true","31","1","55","true"
"32","0","105","true","32","1","55","true"
"33","0","105","true","33","0.99496","55","true"
"34","0","105","true","34","0.99496","55","true"
"35","0","105","true","35","0.9899199999999999","55","true"
"36","0","105","true","36","0.9899199999999999","55","true"
"37","0","105","true","37","0.9978699999999999","55","true"
"38","0","105","true","38","0.9978699999999999","55","true"
"39","0","105","true","39","0.9978699999999999","55","true"
"40","0","105","true","40","1","55","true"
"41","0","105","true","41","1","55","true"
"42","0","105","true","42","1","55","true"
"43","0","105","true","43","1","55","true"
"44","0","105","true","44","0.99496","55","true"
"45","0","105","true","45","0.9899199999999999","55","true"
"46","0","105","true","46","0.9848799999999999","55","true"
"47","0","105","true","47","0.9798399999999998","55","true"
"48","0","105","true","48","0.9747999999999998","55","true"
"49","0","105","true","49","0.9827499999999998","55","true"
"50","0","105","true","50","0.9827499999999998","55","true"
"51","0","105","true","51","0.9827499999999998","55","true"
"52","0","105","true","52","0.9827499999999998","55","true"
"53","0","105","true","53","0.9906999999999998","55","true"
"54","0","105","true","54","0.9986499999999998","55","true"
"55","0","105","true","55","1","55","true"
"56","0","105","true","56","1","55","true"
"57","0.0010400000000000001","105","true","57","0.7284820588208997","55","true"
"58","0.0010400000000000001","105","true","58","0.7327220588208997","55","true"
"59","0.0010400000000000001","105","true","59","0.7369620588208997","55","true"
"60","0","105","true","60","0.7412020588208997","55","true"
"61","0.00424","105","true","61","0.7344820588208998","55","true"
"62","0","105","true","62","0.7387220588208998","55","true"
"63","0","105","true","63","0.7320020588208999","55","true"
"64","0","105","true","64","0.7320020588208999","55","true"
"65","0","105","true","65","0.7252820588208999","55","true"
"66","0","105","true","66","0.7295220588208999","55","true"
"67","0","105","true","67","0.7337620588209","55","true"
"68","0.00424","105","true","68","0.7380020588209","55","true"
"69","0","105","true","69","0.7422420588209","55","true"
"70","0","105","true","70","0.7464820588209","55","true"
"71","0.0029100000000000003","105","true","71","0.7507220588209","55","true"
"72","0.00848","105","true","72","0.7549620588209001","55","true"
"73","0.0017600000000000003","105","true","73","0.7482420588209001","55","true"
"74","0.006","105","true","74","0.7482420588209001","55","true"
"75","0.010239999999999999","105","true","75","0.7524820588209001","55","true"
"76","0.01448","105","true","76","0.7524820588209001","55","true"
"77","0","105","true","77","0.7457620588209002","55","true"
"78","0.00795","105","true","78","0.7500020588209002","55","true"
"79","0.0159","105","true","79","0.7432820588209003","55","true"
"80","0.023850000000000003","105","true","80","0.7365620588209003","55","true"
"81","0.028960000000000003","105","true","81","0.7298420588209004","55","true"
"82","0.008229989966201032","105","true","82","0.7298420588209004","55","true"
"83","0.008229989966201032","105","true","83","0.7340820588209004","55","true"
"84","0","105","true","84","0.7273620588209004","55","true"
"85","0","105","true","85","0.7316020588209005","55","true"
"86","0.00424","105","true","86","0.7358420588209005","55","true"
"87","0","105","true","87","0.7358420588209005","55","true"
"88","0.00795","105","true","88","0.7358420588209005","55","true"
"89","0.0029100000000000003","105","true","89","0.7358420588209005","55","true"
"90","0.010860000000000002","105","true","90","0.7358420588209005","55","true"
"91","0.010860000000000002","105","true","91","0.7291220588209005","55","true"
"92","0","105","true","92","0.5460102837129986","55","true"
"93","0","105","true","93","0.5460102837129986","55","true"
"94","0","105","true","94","0.5460102837129986","55","true"
"95","0.0035199999999999997","105","true","95","0.5460102837129986","55","true"
"96","0.0035199999999999997","105","true","96","0.5404102837129986","55","true"
"97","0","105","true","97","0.5348102837129985","55","true"
"98","0","105","true","98","0.5358102837129988","55","true"
"99","0.00795","105","true","99","0.5401102837129985","55","true"
"100","0.009000000000000001","105","true","100","0.5398102837129984","55","true"
"101","0","105","true","101","0.5451102837129984","55","true"
"102","0","105","true","102","0.5451102837129984","55","true"
"103","0","105","true","103","0.5504102837129984","55","true"
"104","0.0053","105","true","104","0.5557102837129984","55","true"
"105","0","105","true","105","0.5610102837129983","55","true"
"106","0.0053","105","true","106","0.5663102837129983","55","true"
"107","0.009999999999999998","105","true","107","0.5716102837129983","55","true"
"108","0.012520000000000003","105","true","108","0.5769102837129982","55","true"
"109","0","105","true","109","0.5822102837129982","55","true"
"110","0","105","true","110","0.5766102837129982","55","true"
"111","0","105","true","111","0.5819102837129981","55","true"
"112","0","105","true","112","0.5872102837129981","55","true"
"113","0.00795","105","true","113","0.5925102837129981","55","true"
"114","0.0050800000000000055","105","true","114","0.586910283712998","55","true"
"115","0.0050800000000000055","105","true","115","0.586910283712998","55","true"
"116","0.009320000000000005","105","true","116","0.581310283712998","55","true"
"117","0","105","true","117","0.581310283712998","55","true"
"118","0","105","true","118","0.586610283712998","55","true"
"119","0","105","true","119","0.586610283712998","55","true"
"120","0","105","true","120","0.5919102837129979","55","true"
"121","0","105","true","121","0.5972102837129979","55","true"
"122","0.0029100000000000003","105","true","122","0.5916102837129978","55","true"
"123","0.005999999999999999","105","true","123","0.5969102837129978","55","true"
"124","0.010239999999999999","105","true","124","0.6022102837129978","55","true"
"125","0","105","true","125","0.6075102837129978","55","true"
"126","0.00795","105","true","126","0.6128102837129977","55","true"
"127","0","105","true","127","0.6072102837129977","55","true"
"128","0.0053","105","true","128","0.6125102837129976","55","true"
"129","0.0106","105","true","129","0.3605007528859535","55","true"
"130","0.0159","105","true","130","0.3605007528859535","55","true"
"131","0.020430000000000007","105","true","131","0.36580075288595354","55","true"
"132","0","105","true","132","0.36020075288595355","55","true"
"133","0","105","true","133","0.3655007528859536","55","true"
"134","0","105","true","134","0.32290075288595343","55","true"
"135","0.00795","105","true","135","0.31730075288595344","55","true"
"136","0.0159","105","true","136","0.31730075288595344","55","true"
"137","0","105","true","137","0.26277000000000034","55","true"
"138","0.0053","105","true","138","0.27072000000000035","55","true"
"139","0","105","true","139","0.27867000000000036","55","true"
"140","0","105","true","140","0.2866200000000004","55","true"
"141","0.004800000000000002","105","true","141","0.2945700000000004","55","true"
"142","0","105","true","142","0.16491999999999976","55","true"
"143","0.004800000000000002","105","true","143","0.16491999999999976","55","true"
"144","0.009040000000000003","105","true","144","0.16491999999999976","55","true"
"145","0.0023200000000000035","105","true","145","0.16915999999999976","55","true"
"146","0","105","true","146","0.16915999999999976","55","true"
"147","0","105","true","147","0.16342000000000004","55","true"
"148","0.00424","105","true","148","0.16342000000000004","55","true"
"149","0.00424","105","true","149","0.16667999999999975","55","true"
"150","0.00424","105","true","150","0.17137000000000005","55","true"
"151","0","105","true","151","0.17137000000000005","55","true"
"152","0","105","true","152","0.17137000000000005","55","true"
"153","0","105","true","153","0.16667999999999975","55","true"
"154","0","105","true","154","0.16667999999999975","55","true"
"155","0.00424","105","true","155","0.16667999999999975","55","true"
"156","0","105","true","156","0.17091999999999974","55","true"
"157","0","105","true","157","0.17515999999999973","55","true"
"158","0.00424","105","true","158","0.17939999999999973","55","true"
"159","0.00848","105","true","159","0.18363999999999972","55","true"
"160","0.012719999999999999","105","true","160","0.18787999999999971","55","true"
