"export-plot data (NetLogo 6.4.0)"
"Traffic_improved_deep.nlogo"
"03/07/2025 01:24:25:713 +0100"

"MODEL SETTINGS"
"fp-ticks?","batch-size","memory-size","train?","stop-penalty","acceleration","fp-exp?","exploration-rate","number-of-cars","deceleration","exploration-decay-rate","discount","learning-rate"
"false","128","123000","true","0.027","0.0053","true","1","25","0.0056","0.01","0.9","0.0035"

"""Emissions Over Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","5000","0","7","false","""Current Emissions""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""Current Emissions""","true","0","1","15","5000"
"""Average Emissions""","true","0","1","65","5000"

"""Current Emissions""",,,,"""Average Emissions"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true","0","0","65","true"
"1","3.5738706114371874","15","true","1","1.7869353057185937","65","true"
"2","3.269921443940012","15","true","2","2.281264018459066","65","true"
"3","3.260072187109436","15","true","3","2.525966060621658","65","true"
"4","3.332581338421673","15","true","4","2.687289116181662","65","true"
"5","3.1612161740186764","15","true","5","2.7662769591544962","65","true"
"6","3.1602106789258815","15","true","6","2.8225532048361224","65","true"
"7","3.139086293840853","15","true","7","2.8621198409617135","65","true"
"8","3.050384395261944","15","true","8","2.883038124772851","65","true"
"9","3.048358208117234","15","true","9","2.8995701331072894","65","true"
"10","3.0852449693478747","15","true","10","2.9164496636746153","65","true"
"11","2.9264785741178176","15","true","11","2.917285406211549","65","true"
"12","2.9285389914724873","15","true","12","2.9181510666162356","65","true"
"13","2.9165248153001753","15","true","13","2.918034905807945","65","true"
"14","2.923178313179156","15","true","14","2.9183777996326916","65","true"
"15","2.922161451162006","15","true","15","2.918614277853273","65","true"
"16","2.9215969143118614","15","true","16","2.918789727056719","65","true"
"17","2.918375516367655","15","true","17","2.9187667153517713","65","true"
"18","2.918513562192075","15","true","18","2.91875339150126","65","true"
"19","2.9245663840692773","15","true","19","2.9190440411296605","65","true"
"20","2.921388224168154","15","true","20","2.919155668893399","65","true"
"21","2.911918232178001","15","true","21","2.9188266944972443","65","true"
"22","2.9047136193326595","15","true","22","2.9182130825335677","65","true"
"23","2.9478991430286627","15","true","23","2.9194500017208633","65","true"
"24","2.82473459216898","15","true","24","2.91566138533879","65","true"
"25","2.8328745625163503","15","true","25","2.9124772767686955","65","true"
"26","2.8365000314693622","15","true","26","2.909663304720571","65","true"
"27","2.843434883262675","15","true","27","2.9072980039542173","65","true"
"28","2.821882419561968","15","true","28","2.9043526389751735","65","true"
"29","2.838273738677665","15","true","29","2.902150008965256","65","true"
"30","2.882294825545748","15","true","30","2.901509519177529","65","true"
"31","2.783399764154777","15","true","31","2.897818589333067","65","true"
"32","2.632917625095779","15","true","32","2.8897912873864815","65","true"
"33","2.6830259605044415","15","true","33","2.8837099542428923","65","true"
"34","2.587436719375458","15","true","34","2.875245004675252","65","true"
"35","2.524369458857545","15","true","35","2.865498461735872","65","true"
"36","2.524692248106082","15","true","36","2.8562874829891207","65","true"
"37","2.5244778458349435","15","true","37","2.8475556504324318","65","true"
"38","2.5239393918209374","15","true","38","2.8392577976475226","65","true"
"39","2.522560645525726","15","true","39","2.831340368844478","65","true"
"40","2.523896539722866","15","true","40","2.823841738865902","65","true"
"41","2.5264703656641174","15","true","41","2.8167614680753834","65","true"
"42","2.527353382961767","15","true","42","2.8100310474913455","65","true"
"43","2.530891545264606","15","true","43","2.803686967895283","65","true"
"44","2.5301293054038587","15","true","44","2.797607908728806","65","true"
"45","2.5210632178278622","15","true","45","2.791596067622264","65","true"
"46","2.51315894971749","15","true","46","2.7856718736242905","65","true"
"47","2.51039073876328","15","true","47","2.7799368499813526","65","true"
"48","2.5087896855798966","15","true","48","2.774403234381325","65","true"
"49","2.508734558775052","15","true","49","2.7690898608691996","65","true"
"50","2.5130637780428913","15","true","50","2.764069741598095","65","true"
"51","2.518222517360148","15","true","51","2.75934191036275","65","true"
"52","2.5246423595758927","15","true","52","2.754913616951678","65","true"
"53","2.533700910285827","15","true","53","2.7508170853467533","65","true"
"54","2.5455442281964853","15","true","54","2.747084851580385","65","true"
"55","2.548599702126764","15","true","55","2.7435404739115694","65","true"
"56","2.566081218047302","15","true","56","2.7404271536332487","65","true"
"57","2.662640042009638","15","true","57","2.7390859965362897","65","true"
