"export-plot data (NetLogo 6.4.0)"
"Traffic_improved_deep.nlogo"
"03/06/2025 22:46:18:343 +0100"

"MODEL SETTINGS"
"fp-ticks?","batch-size","memory-size","stop-penalty","train?","acceleration","fp-exp?","exploration-rate","number-of-cars","deceleration","exploration-decay-rate","discount","learning-rate"
"false","128","123000","0.027","true","0.0053","true","1","11","0.0056","0.01","0.9","0.0035"

"""Emissions Over Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","5000","0","5","false","""Current Emissions""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""Current Emissions""","true","0","1","15","5000"
"""Average Emissions""","true","0","1","65","5000"

"""Current Emissions""",,,,"""Average Emissions"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true","0","0","65","true"
"1","1.863766202399522","15","true","1","0.931883101199761","65","true"
"2","1.8653724210956657","15","true","2","1.2430462078317295","65","true"
"3","1.8621237164495472","15","true","3","1.3978155849861837","65","true"
"4","1.8533076446744725","15","true","4","1.4889139969238414","65","true"
"5","1.8446788965493708","15","true","5","1.5482081468614297","65","true"
"6","1.8359812795449026","15","true","6","1.5893185943876402","65","true"
"7","1.8707152564046114","15","true","7","1.6244931771397615","65","true"
"8","1.7532502792407827","15","true","8","1.6387995218176525","65","true"
"9","1.7433106982757658","15","true","9","1.6492506394634643","65","true"
"10","1.7334276088661176","15","true","10","1.6569030912273417","65","true"
"11","1.720400675059103","15","true","11","1.6621945565466552","65","true"
"12","1.7120158314885523","15","true","12","1.6660269623114166","65","true"
"13","1.6990768164610353","15","true","13","1.6683876661792463","65","true"
"14","1.6952193902830783","15","true","14","1.6701764477861687","65","true"
"15","1.6853668638356791","15","true","15","1.671125848789263","65","true"
"16","1.6798433487207403","15","true","16","1.6716386429028791","65","true"
"17","1.6714946906473198","15","true","17","1.671630645555348","65","true"
"18","1.6621589263655108","15","true","18","1.671132134019041","65","true"
"19","1.6555097137843826","15","true","19","1.6703510130073078","65","true"
"20","1.6481182594095976","15","true","20","1.6692923104550363","65","true"
"21","1.6425156683170177","15","true","21","1.6680751903578537","65","true"
"22","1.6422063827960314","15","true","22","1.6669504595942959","65","true"
"23","1.6460563835312803","15","true","23","1.66607987309167","65","true"
"24","1.6439750167758063","15","true","24","1.6651956788390356","65","true"
"25","1.639322862322645","15","true","25","1.6642005705114822","65","true"
"26","1.636673553603088","15","true","26","1.6631810513667264","65","true"
"27","1.6392418876238533","15","true","27","1.6623260812330523","65","true"
"28","1.6462752696702436","15","true","28","1.6617726049722656","65","true"
"29","1.6440971455613873","15","true","29","1.6611834229919031","65","true"
"30","1.6464306422638606","15","true","30","1.6607075268393858","65","true"
"31","1.6487428682386855","15","true","31","1.6603336312581138","65","true"
"32","1.6466456939518062","15","true","32","1.6599188452791347","65","true"
"33","1.6455421420079828","15","true","33","1.6594960010652775","65","true"
"34","1.6419944857324356","15","true","34","1.6589959577700537","65","true"
"35","1.6464754341303667","15","true","35","1.6586481654467289","65","true"
"36","1.6404088210905943","15","true","36","1.6581552101938606","65","true"
"37","1.6343007228385185","15","true","37","1.6575274605266148","65","true"
"38","1.6355225265005322","15","true","38","1.6569632314490228","65","true"
"39","1.6237261399993363","15","true","39","1.6561323041627811","65","true"
"40","1.6179320284667396","15","true","40","1.655200590121415","65","true"
"41","1.6117857174170673","15","true","41","1.6541669026760732","65","true"
"42","1.6061155647926209","15","true","42","1.6530494297020395","65","true"
"43","1.6011333391468672","15","true","43","1.6518695185530583","65","true"
"44","1.5987781228269735","15","true","44","1.6506897097591453","65","true"
"45","1.6005277428642593","15","true","45","1.6495992322179518","65","true"
"46","1.5982971173483613","15","true","46","1.648507697859024","65","true"
"47","1.5976435918970018","15","true","47","1.6474480289848152","65","true"
"48","1.5951444870139613","15","true","48","1.6463806097609204","65","true"
"49","1.5936683422008715","15","true","49","1.6453263644097191","65","true"
"50","1.5897018495779511","15","true","50","1.6442356876483115","65","true"
"51","1.5862718939314677","15","true","51","1.643120999307603","65","true"
"52","1.5822143107572426","15","true","52","1.6419718165047663","65","true"
