"export-plot data (NetLogo 6.4.0)"
"Traffic_improved_deep_emission_penalty.nlogo"
"03/07/2025 01:00:52:154 +0100"

"MODEL SETTINGS"
"fp-ticks?","batch-size","stop-penalty","train?","memory-size","acceleration","fp-exp?","exploration-rate","number-of-cars","deceleration","exploration-decay-rate","discount","learning-rate"
"false","128","0.027","true","123000","0.0053","true","1","25","0.0056","0.01","0.9","0.0035"

"""Emissions Over Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","5000","0","7","false","""Current Emissions""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""Current Emissions""","true","0","1","15","5000"
"""Average Emissions""","true","0","1","65","5000"

"""Current Emissions""",,,,"""Average Emissions"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true","0","0","65","true"
"1","3.4538217179051283","15","true","1","1.7269108589525641","65","true"
"2","3.4342931807580634","15","true","2","2.296038299554397","65","true"
"3","3.458677405025502","15","true","3","2.586698075922173","65","true"
"4","3.3969088585057334","15","true","4","2.7487402324388848","65","true"
"5","3.4051933576231423","15","true","5","2.85814908663626","65","true"
"6","3.3208505905543633","15","true","6","2.9242493014817024","65","true"
"7","3.3172361968207","15","true","7","2.9733726633990774","65","true"
"8","3.32675476338019","15","true","8","3.0126373411747567","65","true"
"9","3.324197525235899","15","true","9","3.043793359580871","65","true"
"10","3.319524697684989","15","true","10","3.068859844863063","65","true"
"11","3.3157940880546795","15","true","11","3.089437698462364","65","true"
"12","3.3064108558523824","15","true","12","3.106127941338519","65","true"
"13","3.305605391531384","15","true","13","3.12037633063801","65","true"
"14","3.286189138645535","15","true","14","3.1314305178385116","65","true"
"15","3.259327672376408","15","true","15","3.1394240899971315","65","true"
"16","3.254851019482848","15","true","16","3.146213909378645","65","true"
"17","3.257358608402075","15","true","17","3.152388614879947","65","true"
"18","3.2884115814374453","15","true","18","3.159547718382973","65","true"
"19","3.21946640855491","15","true","19","3.16254365289157","65","true"
"20","3.2175120908651493","15","true","20","3.165161197556977","65","true"
"21","3.223593497864633","15","true","21","3.1678172112073257","65","true"
"22","3.2253711827885585","15","true","22","3.170319557797814","65","true"
"23","3.228199362182071","15","true","23","3.1727312163138244","65","true"
"24","3.234357858236237","15","true","24","3.175196281990722","65","true"
"25","3.2434326640817246","15","true","25","3.177820758224991","65","true"
"26","3.244281773665323","15","true","26","3.180282277315374","65","true"
"27","3.2320119809877137","15","true","27","3.182129766732243","65","true"
"28","3.2100118366208865","15","true","28","3.183091217418059","65","true"
"29","3.0951828191083637","15","true","29","3.1801609374744033","65","true"
"30","3.092517603039416","15","true","30","3.177333733137791","65","true"
"31","3.038836853780291","15","true","31","3.1730057056578698","65","true"
"32","3.0147392217759017","15","true","32","3.1682097516008416","65","true"
"33","3.0225983471139433","15","true","33","3.1639270632335803","65","true"
"34","3.036235593957432","15","true","34","3.160278735539976","65","true"
"35","3.043462308265012","15","true","35","3.1570338347823377","65","true"
"36","3.031353809247149","15","true","36","3.1536370773354414","65","true"
"37","3.028875465203679","15","true","37","3.1503538770161854","65","true"
"38","3.0297569055926417","15","true","38","3.1472616469796844","65","true"
"39","3.043470790511908","15","true","39","3.14466687556799","65","true"
"40","3.04403054014318","15","true","40","3.142212330801531","65","true"
"41","3.029005860016337","15","true","41","3.1395169386399777","65","true"
"42","3.0338711721485345","15","true","42","3.1370600603494783","65","true"
"43","3.0284694473658127","15","true","43","3.134592091872578","65","true"
"44","3.0283906660314637","15","true","44","3.132232060187219","65","true"
"45","2.9706886939258674","15","true","45","3.1287202478771894","65","true"
"46","2.9299951006130684","15","true","46","3.1244920532545484","65","true"
"47","2.934500986881725","15","true","47","3.120533906038448","65","true"
"48","2.9728816351019853","15","true","48","3.117520594386683","65","true"
"49","2.8612758786553805","15","true","49","3.112395700072057","65","true"
"50","2.867747819034983","15","true","50","3.107598682796819","65","true"
"51","2.873251952745604","15","true","51","3.1030920149112187","65","true"
"52","2.876008848255833","15","true","52","3.0988074268611165","65","true"
"53","2.802993005262575","15","true","53","3.093329382016699","65","true"
"54","2.712256196718944","15","true","54","3.086400778647649","65","true"
"55","2.715362719385839","15","true","55","3.0797750990179744","65","true"
"56","2.7169415448984027","15","true","56","3.073409598068509","65","true"
"57","2.717700744911446","15","true","57","3.06727668680718","65","true"
