"export-plot data (NetLogo 6.4.0)"
"Traffic_improved_deep_emission_penalty.nlogo"
"03/07/2025 00:55:35:154 +0100"

"MODEL SETTINGS"
"fp-ticks?","batch-size","memory-size","train?","stop-penalty","acceleration","fp-exp?","exploration-rate","number-of-cars","deceleration","exploration-decay-rate","discount","learning-rate"
"false","128","123000","true","0.027","0.0053","true","1","11","0.0056","0.01","0.9","0.001"

"""Car speeds"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","5000","0","5","false","""min speed""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""min speed""","true","0","1","105","5000"
"""max speed""","true","0","1","55","5000"

"""min speed""",,,,"""max speed"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0.1970587465269436","105","true","0","0.992613254765981","55","true"
"1","0.1970587465269436","105","true","1","0.9735632547659808","55","true"
"2","0.1970587465269436","105","true","2","0.9815132547659808","55","true"
"3","0.2023587465269436","105","true","3","0.9764732547659808","55","true"
"4","0.2076587465269436","105","true","4","0.9764732547659808","55","true"
"5","0.2129587465269436","105","true","5","0.9844232547659808","55","true"
"6","0.2182587465269436","105","true","6","0.9793832547659808","55","true"
"7","0.2126587465269436","105","true","7","0.9743432547659807","55","true"
"8","0.2179587465269436","105","true","8","0.9743432547659807","55","true"
"9","0.21235874652694361","105","true","9","0.9822932547659807","55","true"
"10","0.21235874652694361","105","true","10","0.9772532547659807","55","true"
"11","0.21765874652694361","105","true","11","0.9722132547659806","55","true"
"12","0.21765874652694361","105","true","12","0.9671732547659806","55","true"
"13","0.21765874652694361","105","true","13","0.9621332547659806","55","true"
"14","0.2229587465269436","105","true","14","0.9570932547659805","55","true"
"15","0.2229587465269436","105","true","15","0.9520532547659805","55","true"
"16","0.21735874652694362","105","true","16","0.9520532547659805","55","true"
"17","0.21735874652694362","105","true","17","0.9600032547659805","55","true"
"18","0.21735874652694362","105","true","18","0.9600032547659805","55","true"
"19","0.22265874652694362","105","true","19","0.9600032547659805","55","true"
"20","0.21705874652694362","105","true","20","0.9600032547659805","55","true"
"21","0.22235874652694362","105","true","21","0.9600032547659805","55","true"
"22","0.22235874652694362","105","true","22","0.9679532547659805","55","true"
"23","0.21675874652694363","105","true","23","0.9679532547659805","55","true"
"24","0.21675874652694363","105","true","24","0.9759032547659805","55","true"
"25","0.22205874652694363","105","true","25","0.9759032547659805","55","true"
"26","0.22205874652694363","105","true","26","0.9759032547659805","55","true"
"27","0.21645874652694364","105","true","27","0.9838532547659805","55","true"
"28","0.21645874652694364","105","true","28","0.9788132547659805","55","true"
"29","0.21645874652694364","105","true","29","0.9867632547659805","55","true"
"30","0.21645874652694364","105","true","30","0.9817232547659804","55","true"
"31","0.22175874652694363","105","true","31","0.9766832547659804","55","true"
"32","0.22705874652694363","105","true","32","0.9766832547659804","55","true"
"33","0.22705874652694363","105","true","33","0.9846332547659804","55","true"
"34","0.22145874652694364","105","true","34","0.9925832547659804","55","true"
"35","0.22675874652694364","105","true","35","0.9875432547659804","55","true"
"36","0.2215075017822346","105","true","36","0.9875432547659804","55","true"
"37","0.2159075017822346","105","true","37","0.9825032547659803","55","true"
"38","0.2159075017822346","105","true","38","0.9825032547659803","55","true"
"39","0.2212075017822346","105","true","39","0.9904532547659803","55","true"
"40","0.2212075017822346","105","true","40","0.9984032547659804","55","true"
"41","0.21560750178223462","105","true","41","0.8801508321216718","55","true"
"42","0.21560750178223462","105","true","42","0.8843908321216718","55","true"
"43","0.21560750178223462","105","true","43","0.8886308321216718","55","true"
"44","0.21560750178223462","105","true","44","0.8819108321216719","55","true"
"45","0.22090750178223462","105","true","45","0.8751908321216719","55","true"
"46","0.21530750178223462","105","true","46","0.879430832121672","55","true"
"47","0.21530750178223462","105","true","47","0.879430832121672","55","true"
"48","0.21530750178223462","105","true","48","0.879430832121672","55","true"
"49","0.21530750178223462","105","true","49","0.879430832121672","55","true"
"50","0.20970750178223463","105","true","50","0.879430832121672","55","true"
"51","0.20410750178223463","105","true","51","0.872710832121672","55","true"
"52","0.20940750178223463","105","true","52","0.872710832121672","55","true"
"53","0.20940750178223463","105","true","53","0.872710832121672","55","true"
"54","0.21470750178223463","105","true","54","0.876950832121672","55","true"
"55","0.21470750178223463","105","true","55","0.876950832121672","55","true"
"56","0.21470750178223463","105","true","56","0.876950832121672","55","true"
"57","0.20910750178223464","105","true","57","0.876950832121672","55","true"
"58","0.20910750178223464","105","true","58","0.8702308321216721","55","true"
"59","0.20910750178223464","105","true","59","0.8635108321216721","55","true"
"60","0.20910750178223464","105","true","60","0.8677508321216721","55","true"
"61","0.21440750178223464","105","true","61","0.8677508321216721","55","true"
"62","0.21440750178223464","105","true","62","0.8677508321216721","55","true"
"63","0.21970750178223464","105","true","63","0.8719908321216722","55","true"
"64","0.21970750178223464","105","true","64","0.8762308321216722","55","true"
"65","0.22500750178223464","105","true","65","0.8695108321216722","55","true"
"66","0.21940750178223464","105","true","66","0.8737508321216723","55","true"
"67","0.22470750178223464","105","true","67","0.8670308321216723","55","true"
"68","0.21910750178223465","105","true","68","0.8712708321216723","55","true"
"69","0.21910750178223465","105","true","69","0.8712708321216723","55","true"
"70","0.22440750178223465","105","true","70","0.8712708321216723","55","true"
"71","0.21880750178223465","105","true","71","0.8645508321216724","55","true"
"72","0.21320750178223466","105","true","72","0.8578308321216724","55","true"
"73","0.2178587465269437","105","true","73","0.8578308321216724","55","true"
"74","0.2178587465269437","105","true","74","0.8620708321216725","55","true"
"75","0.21850750178223466","105","true","75","0.8663108321216725","55","true"
"76","0.2175587465269437","105","true","76","0.8705508321216725","55","true"
"77","0.2175587465269437","105","true","77","0.8747908321216725","55","true"
"78","0.2175587465269437","105","true","78","0.8680708321216726","55","true"
"79","0.2175587465269437","105","true","79","0.8680708321216726","55","true"
"80","0.2175587465269437","105","true","80","0.8680708321216726","55","true"
"81","0.2228587465269437","105","true","81","0.8613508321216726","55","true"
"82","0.2172587465269437","105","true","82","0.8613508321216726","55","true"
"83","0.2225587465269437","105","true","83","0.8655908321216726","55","true"
"84","0.2278587465269437","105","true","84","0.8588708321216727","55","true"
"85","0.20615874652694371","105","true","85","0.8588708321216727","55","true"
"86","0.20615874652694371","105","true","86","0.8631108321216727","55","true"
"87","0.2103987465269437","105","true","87","0.8631108321216727","55","true"
"88","0.2103987465269437","105","true","88","0.8673508321216727","55","true"
"89","0.2036787465269437","105","true","89","0.8715908321216728","55","true"
"90","0.2079187465269437","105","true","90","0.8758308321216728","55","true"
"91","0.2079187465269437","105","true","91","0.8552508321216724","55","true"
"92","0.2121587465269437","105","true","92","0.8552508321216724","55","true"
"93","0.2054387465269437","105","true","93","0.8552508321216724","55","true"
"94","0.19871874652694368","105","true","94","0.8605508321216724","55","true"
"95","0.19199874652694368","105","true","95","0.8549508321216723","55","true"
"96","0.19623874652694367","105","true","96","0.8602508321216723","55","true"
"97","0.18951874652694367","105","true","97","0.8546508321216723","55","true"
"98","0.19375874652694366","105","true","98","0.8490508321216722","55","true"
"99","0.19375874652694366","105","true","99","0.8434508321216722","55","true"
"100","0.19375874652694366","105","true","100","0.8487508321216721","55","true"
"101","0.19375874652694366","105","true","101","0.8487508321216721","55","true"
"102","0.19375874652694366","105","true","102","0.8540508321216721","55","true"
"103","0.19375874652694366","105","true","103","0.8540508321216721","55","true"
"104","0.19375874652694366","105","true","104","0.8593508321216721","55","true"
"105","0.19799874652694366","105","true","105","0.864650832121672","55","true"
"106","0.20223874652694365","105","true","106","0.869950832121672","55","true"
"107","0.20223874652694365","105","true","107","0.875250832121672","55","true"
"108","0.20647874652694365","105","true","108","0.880550832121672","55","true"
"109","0.21071874652694364","105","true","109","0.8858508321216719","55","true"
"110","0.21495874652694363","105","true","110","0.8802508321216719","55","true"
"111","0.20823874652694363","105","true","111","0.8802508321216719","55","true"
"112","0.20151874652694363","105","true","112","0.8855508321216718","55","true"
"113","0.20151874652694363","105","true","113","0.8908508321216718","55","true"
"114","0.19479874652694362","105","true","114","0.8852508321216718","55","true"
"115","0.19903874652694362","105","true","115","0.8796508321216717","55","true"
"116","0.1923187465269436","105","true","116","0.8740508321216717","55","true"
"117","0.1923187465269436","105","true","117","0.8793508321216716","55","true"
"118","0.1855987465269436","105","true","118","0.8737508321216716","55","true"
"119","0.1788787465269436","105","true","119","0.8790508321216716","55","true"
"120","0.1788787465269436","105","true","120","0.8843508321216715","55","true"
"121","0.1788787465269436","105","true","121","0.8843508321216715","55","true"
"122","0.1788787465269436","105","true","122","0.8843508321216715","55","true"
"123","0.1788787465269436","105","true","123","0.8787508321216715","55","true"
"124","0.1788787465269436","105","true","124","0.8787508321216715","55","true"
"125","0.1788787465269436","105","true","125","0.8840508321216715","55","true"
"126","0.1788787465269436","105","true","126","0.8840508321216715","55","true"
"127","0.1721587465269436","105","true","127","0.8840508321216715","55","true"
"128","0.1721587465269436","105","true","128","0.8893508321216714","55","true"
"129","0.1654387465269436","105","true","129","0.8837508321216714","55","true"
"130","0.1654387465269436","105","true","130","0.8890508321216714","55","true"
"131","0.1696787465269436","105","true","131","0.8890508321216714","55","true"
"132","0.1629587465269436","105","true","132","0.8943508321216713","55","true"
"133","0.15623874652694358","105","true","133","0.8996508321216713","55","true"
"134","0.14951874652694358","105","true","134","0.9049508321216713","55","true"
"135","0.14279874652694358","105","true","135","0.9102508321216712","55","true"
"136","0.13607874652694357","105","true","136","0.9155508321216712","55","true"
