"export-plot data (NetLogo 6.4.0)"
"Traffic_improved_deep_emission_penalty.nlogo"
"03/07/2025 00:56:16:541 +0100"

"MODEL SETTINGS"
"fp-ticks?","batch-size","memory-size","train?","stop-penalty","acceleration","fp-exp?","exploration-rate","number-of-cars","deceleration","exploration-decay-rate","discount","learning-rate"
"false","128","123000","true","0.027","0.0053","true","1","11","0.0056","0.01","0.9","0.001"

"""Emissions Over Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","5000","0","5","false","""Current Emissions""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""Current Emissions""","true","0","1","15","5000"
"""Average Emissions""","true","0","1","65","5000"

"""Current Emissions""",,,,"""Average Emissions"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true","0","0","65","true"
"1","1.5356398208868849","15","true","1","0.7678199104434424","65","true"
"2","1.535513461690457","15","true","2","1.0237177608591141","65","true"
"3","1.5252116126387152","15","true","3","1.1490912238040143","65","true"
"4","1.5526077730786045","15","true","4","1.2297945336589327","65","true"
"5","1.4557556796089033","15","true","5","1.2674547246505943","65","true"
"6","1.4495281446882493","15","true","6","1.293465213227402","65","true"
"7","1.4422213301584867","15","true","7","1.3120597278437878","65","true"
"8","1.4369483227519853","15","true","8","1.3259362383891435","65","true"
"9","1.4388308450480791","15","true","9","1.337225699055037","65","true"
"10","1.4335891769666633","15","true","10","1.345986015228821","65","true"
"11","1.4295040458296784","15","true","11","1.3529458511122259","65","true"
"12","1.423090699585067","15","true","12","1.3583416086870597","65","true"
"13","1.4216997007461054","15","true","13","1.362867186691277","65","true"
"14","1.4209548418979268","15","true","14","1.366739697038387","65","true"
"15","1.4182633642810258","15","true","15","1.369959926241052","65","true"
"16","1.4155966231845083","15","true","16","1.3726444378259615","65","true"
"17","1.4167100524280287","15","true","17","1.3750925275260768","65","true"
"18","1.4164797567658016","15","true","18","1.37727080274922","65","true"
"19","1.4175417993558708","15","true","19","1.3792843525795528","65","true"
"20","1.4184782400745402","15","true","20","1.381150728174552","65","true"
"21","1.421275696511383","15","true","21","1.382974590371681","65","true"
"22","1.4262492633360997","15","true","22","1.3848560978918731","65","true"
"23","1.4255583348284433","15","true","23","1.3865520244308966","65","true"
"24","1.427198456357632","15","true","24","1.388177881707966","65","true"
"25","1.4270038464194723","15","true","25","1.3896711880430237","65","true"
"26","1.4272002239640065","15","true","26","1.391061152336394","65","true"
"27","1.4320720572030545","15","true","27","1.3925258275102035","65","true"
"28","1.4300279335076582","15","true","28","1.3938190035790812","65","true"
"29","1.4332304193777572","15","true","29","1.395132717439037","65","true"
"30","1.4296621041293776","15","true","30","1.3962465686225964","65","true"
"31","1.426042934088022","15","true","31","1.3971777050433911","65","true"
"32","1.4253552278472634","15","true","32","1.398031569370781","65","true"
"33","1.4320362080159545","15","true","33","1.3990317058015214","65","true"
"34","1.4386881560790545","15","true","34","1.400164747238022","65","true"
"35","1.4366324239338408","15","true","35","1.40117773825735","65","true"
"36","1.436847958797093","15","true","36","1.4021417982719377","65","true"
"37","1.4343913478848749","15","true","37","1.4029904706301728","65","true"
"38","1.4350075191870135","15","true","38","1.4038114205931687","65","true"
"39","1.4405215397436113","15","true","39","1.4047291735719296","65","true"
"40","1.4479785528239668","15","true","40","1.405784036480516","65","true"
"41","1.6135353111075892","15","true","41","1.410730495400208","65","true"
"42","1.2009691084062528","15","true","42","1.4058523236096507","65","true"
"43","1.1993965499459724","15","true","43","1.401160146935476","65","true"
"44","1.196387187619132","15","true","44","1.3966096367284462","65","true"
"45","1.1938845426241853","15","true","45","1.3922025694653102","65","true"
"46","1.1962966171900637","15","true","46","1.3880343577147733","65","true"
"47","1.1958452248243026","15","true","47","1.3840304174462223","65","true"
"48","1.1974067281864371","15","true","48","1.380221770726635","65","true"
"49","1.198028922217623","15","true","49","1.3765779137564547","65","true"
"50","1.1984100873653027","15","true","50","1.3730844269644717","65","true"
"51","1.199145930594935","15","true","51","1.3697394558804423","65","true"
"52","1.2007867437254438","15","true","52","1.3665516688586505","65","true"
