"export-plot data (NetLogo 6.4.0)"
"Traffic_improved_simple.nlogo"
"03/07/2025 01:03:52:410 +0100"

"MODEL SETTINGS"
"fp-ticks?","batch-size","memory-size","train?","stop-penalty","acceleration","fp-exp?","exploration-rate","number-of-cars","deceleration","exploration-decay-rate","discount","learning-rate"
"false","128","123000","true","0.027","0.0053","true","1","25","0.0056","0.01","0.9","0.0035"

"""Car speeds"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","5000","0","5","false","""min speed""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""min speed""","true","0","1","105","5000"
"""max speed""","true","0","1","55","5000"

"""min speed""",,,,"""max speed"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0.1031185408668035","105","true","0","0.9938325016790073","55","true"
"1","0.1110685408668035","105","true","1","0.9938325016790073","55","true"
"2","0.10571611405881953","105","true","2","0.9723993906219349","55","true"
"3","0.0920185408668035","105","true","3","0.965679390621935","55","true"
"4","0.0973185408668035","105","true","4","0.9622818559153451","55","true"
"5","0.1026185408668035","105","true","5","0.957241855915345","55","true"
"6","0.0970185408668035","105","true","6","0.9522393906219351","55","true"
"7","0.09141854086680351","105","true","7","0.9564793906219351","55","true"
"8","0.04352611405881954","105","true","8","0.9564793906219351","55","true"
"9","0.03680611405881954","105","true","9","0.9500718559153449","55","true"
"10","0.03680611405881954","105","true","10","0.9497593906219352","55","true"
"11","0.04104611405881954","105","true","11","0.9539993906219352","55","true"
"12","0.04104611405881954","105","true","12","0.9529818559153449","55","true"
"13","0.034326114058819544","105","true","13","0.9515193906219352","55","true"
"14","0.038566114058819545","105","true","14","0.9558918559153449","55","true"
"15","0.038566114058819545","105","true","15","0.9638418559153449","55","true"
"16","0.03184611405881955","105","true","16","0.9638418559153449","55","true"
"17","0.03608611405881955","105","true","17","0.9588018559153448","55","true"
"18","0.03608611405881955","105","true","18","0.9667518559153448","55","true"
"19","0.02936611405881955","105","true","19","0.9667518559153448","55","true"
"20","0.02264611405881955","105","true","20","0.9617118559153448","55","true"
"21","0.015926114058819548","105","true","21","0.9566718559153448","55","true"
"22","0.015926114058819548","105","true","22","0.9646218559153448","55","true"
"23","0.009206114058819548","105","true","23","0.9725718559153448","55","true"
"24","0.0024861140588195484","105","true","24","0.9725718559153448","55","true"
"25","0.0024861140588195484","105","true","25","0.9675318559153447","55","true"
"26","0.0024861140588195484","105","true","26","0.9675318559153447","55","true"
"27","0.006726114058819548","105","true","27","0.9754818559153448","55","true"
"28","6.11405881954883E-6","105","true","28","0.9834318559153448","55","true"
"29","6.11405881954883E-6","105","true","29","0.9834318559153448","55","true"
"30","0","105","true","30","0.9783918559153447","55","true"
"31","0","105","true","31","0.9863418559153447","55","true"
"32","0","105","true","32","0.9863418559153447","55","true"
"33","0","105","true","33","0.9863418559153447","55","true"
"34","0","105","true","34","0.9942918559153447","55","true"
"35","0","105","true","35","1","55","true"
"36","0","105","true","36","1","55","true"
"37","0","105","true","37","1","55","true"
"38","0","105","true","38","1","55","true"
"39","0","105","true","39","1","55","true"
"40","0","105","true","40","0.99496","55","true"
"41","0.0029100000000000003","105","true","41","0.9899199999999999","55","true"
"42","0","105","true","42","0.9978699999999999","55","true"
"43","0","105","true","43","0.9978699999999999","55","true"
"44","0","105","true","44","0.9928299999999999","55","true"
"45","0","105","true","45","0.9877899999999998","55","true"
"46","0","105","true","46","0.9957399999999998","55","true"
"47","0","105","true","47","0.9957399999999998","55","true"
"48","0","105","true","48","1","55","true"
"49","0","105","true","49","1","55","true"
"50","0","105","true","50","1","55","true"
"51","0","105","true","51","1","55","true"
"52","0","105","true","52","0.99496","55","true"
"53","0","105","true","53","0.9899199999999999","55","true"
"54","0","105","true","54","0.9978699999999999","55","true"
"55","0","105","true","55","1","55","true"
"56","0","105","true","56","1","55","true"
"57","0","105","true","57","1","55","true"
"58","0","105","true","58","0.99496","55","true"
"59","0","105","true","59","0.99496","55","true"
"60","0","105","true","60","1","55","true"
"61","0","105","true","61","1","55","true"
"62","0","105","true","62","1","55","true"
"63","0.0053","105","true","63","0.99496","55","true"
"64","0.0106","105","true","64","1","55","true"
"65","0.012420000000000004","105","true","65","1","55","true"
"66","0.007380000000000004","105","true","66","0.99496","55","true"
"67","0.015330000000000003","105","true","67","0.9899199999999999","55","true"
"68","0.02048","105","true","68","0.9848799999999999","55","true"
"69","0.02112611405881956","105","true","69","0.9928299999999999","55","true"
"70","0","105","true","70","1","55","true"
"71","0","105","true","71","0.7848471354649488","55","true"
"72","0","105","true","72","0.7792471354649487","55","true"
"73","0.00795","105","true","73","0.7737471354649488","55","true"
"74","0.006200000000000001","105","true","74","0.7816971354649488","55","true"
"75","0.0011600000000000004","105","true","75","0.7842471354649486","55","true"
"76","0","105","true","76","0.7846071354649488","55","true"
"77","0","105","true","77","0.7925571354649488","55","true"
"78","0.0035999999999999956","105","true","78","0.7875171354649487","55","true"
"79","0.011549999999999996","105","true","79","0.7954671354649487","55","true"
"80","0.019499999999999997","105","true","80","0.8034171354649488","55","true"
"81","0.014459999999999997","105","true","81","0.8034171354649488","55","true"
"82","0.016886114058819564","105","true","82","0.8113671354649488","55","true"
"83","0","105","true","83","0.8193171354649488","55","true"
"84","0.00795","105","true","84","0.7892471354649485","55","true"
"85","0.00795","105","true","85","0.7945471354649485","55","true"
"86","0.0159","105","true","86","0.7998471354649485","55","true"
"87","0.010860000000000002","105","true","87","0.7942471354649484","55","true"
"88","0.010860000000000002","105","true","88","0.7942471354649484","55","true"
"89","0.00852611405881959","105","true","89","0.7942471354649484","55","true"
"90","0.013826114058819589","105","true","90","0.7886471354649484","55","true"
"91","0.007709999999999998","105","true","91","0.7939471354649483","55","true"
"92","0.007709999999999998","105","true","92","0.7992471354649483","55","true"
"93","0.011949999999999999","105","true","93","0.8045471354649483","55","true"
"94","0.01619","105","true","94","0.8098471354649482","55","true"
"95","0.02043","105","true","95","0.8151471354649482","55","true"
"96","0.02294999999999999","105","true","96","0.8204471354649482","55","true"
"97","0.02891","105","true","97","0.8257471354649482","55","true"
"98","0.03315","105","true","98","0.8310471354649481","55","true"
"99","0.006149999999999999","105","true","99","0.8310471354649481","55","true"
"100","0.01039","105","true","100","0.8310471354649481","55","true"
"101","0.01463","105","true","101","0.8363471354649481","55","true"
"102","0.01887","105","true","102","0.8416471354649481","55","true"
"103","0.023110000000000002","105","true","103","0.836047135464948","55","true"
"104","0.016390000000000002","105","true","104","0.830447135464948","55","true"
"105","0.020630000000000003","105","true","105","0.8248471354649479","55","true"
"106","0.020630000000000003","105","true","106","0.8248471354649479","55","true"
"107","0.013910000000000002","105","true","107","0.8192471354649479","55","true"
"108","0.007190000000000003","105","true","108","0.8136471354649478","55","true"
"109","0.007190000000000003","105","true","109","0.8093771354649483","55","true"
"110","0.011430000000000003","105","true","110","0.8173271354649483","55","true"
"111","0.011430000000000003","105","true","111","0.8186471354649477","55","true"
"112","0.015670000000000003","105","true","112","0.8130471354649477","55","true"
"113","0.015670000000000003","105","true","113","0.8151971354649482","55","true"
"114","0.015670000000000003","105","true","114","0.8231471354649482","55","true"
"115","0.008950000000000003","105","true","115","0.8310971354649482","55","true"
"116","0.011550000000000008","105","true","116","0.8390471354649482","55","true"
"117","0.006470000000000004","105","true","117","0.8469971354649483","55","true"
"118","0","105","true","118","0.8549471354649483","55","true"
"119","0.00424","105","true","119","0.8549471354649483","55","true"
"120","0.00848","105","true","120","0.8549471354649483","55","true"
"121","0.00848","105","true","121","0.8549471354649483","55","true"
"122","0.0017600000000000003","105","true","122","0.8549471354649483","55","true"
"123","0.0017600000000000003","105","true","123","0.8549471354649483","55","true"
"124","0","105","true","124","0.8549471354649483","55","true"
"125","0.00424","105","true","125","0.8549471354649483","55","true"
"126","0.00424","105","true","126","0.4646661140588203","55","true"
"127","0.00424","105","true","127","0.4726161140588203","55","true"
"128","0.00848","105","true","128","0.4805661140588203","55","true"
"129","0.012719999999999999","105","true","129","0.48851611405882034","55","true"
"130","0.012719999999999999","105","true","130","0.48347611405882035","55","true"
"131","0.01696","105","true","131","0.49142611405882036","55","true"
"132","0.01696","105","true","132","0.4993761140588204","55","true"
"133","0.010239999999999999","105","true","133","0.5073261140588203","55","true"
"134","0.01448","105","true","134","0.5022861140588203","55","true"
"135","0.01872","105","true","135","0.4972461140588203","55","true"
"136","0.02296","105","true","136","0.4922061140588203","55","true"
"137","0.027200000000000002","105","true","137","0.5001561140588203","55","true"
"138","0.03144","105","true","138","0.5081061140588203","55","true"
"139","0.03568","105","true","139","0.5160561140588203","55","true"
"140","0.039920000000000004","105","true","140","0.5110161140588203","55","true"
"141","0.03451000000000001","105","true","141","0.5189661140588203","55","true"
"142","0.029470000000000014","105","true","142","0.5189661140588203","55","true"
"143","0.02775999999999994","105","true","143","0.5269161140588203","55","true"
"144","0.02103999999999994","105","true","144","0.5269161140588203","55","true"
"145","0.01431999999999994","105","true","145","0.42635611405882085","55","true"
"146","0.007599999999999941","105","true","146","0.42131611405882086","55","true"
"147","8.799999999999416E-4","105","true","147","0.41627611405882087","55","true"
"148","0","105","true","148","0.4242261140588209","55","true"
"149","0","105","true","149","0.42011611405882116","55","true"
"150","0","105","true","150","0.4254161140588212","55","true"
"151","0","105","true","151","0.4091061140588209","55","true"
"152","0","105","true","152","0.4040661140588209","55","true"
"153","0","105","true","153","0.4040661140588209","55","true"
"154","0","105","true","154","0.4040661140588209","55","true"
