"export-plot data (NetLogo 6.4.0)"
"Traffic_improved_simple.nlogo"
"03/07/2025 01:04:12:320 +0100"

"MODEL SETTINGS"
"fp-ticks?","batch-size","memory-size","train?","stop-penalty","acceleration","fp-exp?","exploration-rate","number-of-cars","deceleration","exploration-decay-rate","discount","learning-rate"
"false","128","123000","true","0.027","0.0053","true","1","25","0.0056","0.01","0.9","0.0035"

"""Emissions Over Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","5000","0","7","false","""Current Emissions""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""Current Emissions""","true","0","1","15","5000"
"""Average Emissions""","true","0","1","65","5000"

"""Current Emissions""",,,,"""Average Emissions"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true","0","0","65","true"
"1","4.759396014559566","15","true","1","2.379698007279783","65","true"
"2","5.122322282157012","15","true","2","3.2939060989055253","65","true"
"3","4.521657202944405","15","true","3","3.6008438749152454","65","true"
"4","4.371146688715099","15","true","4","3.754904437675216","65","true"
"5","4.376367111175862","15","true","5","3.8584815499253224","65","true"
"6","4.376652899523927","15","true","6","3.9325060284394087","65","true"
"7","4.428519918196784","15","true","7","3.9945077646590814","65","true"
"8","4.482051762320841","15","true","8","4.048679319954831","65","true"
"9","4.1907931399483145","15","true","9","4.062890701954179","65","true"
"10","4.197137532133883","15","true","10","4.075094959243241","65","true"
"11","4.165276339457289","15","true","11","4.082610074261079","65","true"
"12","4.1477099904575425","15","true","12","4.087617760122347","65","true"
"13","4.111089878972428","15","true","13","4.089294340040211","65","true"
"14","4.064026642829534","15","true","14","4.087609826892835","65","true"
"15","4.043160672532619","15","true","15","4.084831754745322","65","true"
"16","4.038823322875557","15","true","16","4.082125376400041","65","true"
"17","4.039340930463446","15","true","17","4.079748462736896","65","true"
"18","4.03767632658278","15","true","18","4.077534139781417","65","true"
"19","4.010326543532987","15","true","19","4.0741737599689944","65","true"
"20","3.8740683938001736","15","true","20","4.064644933008576","65","true"
"21","3.8710627659150085","15","true","21","4.055845743595233","65","true"
"22","3.8595375503167726","15","true","22","4.04731060475704","65","true"
"23","3.8494490033393656","15","true","23","4.039066371364638","65","true"
"24","3.794312734627242","15","true","24","4.029276225895141","65","true"
"25","3.7959033151254555","15","true","25","4.020300344711691","65","true"
"26","3.9249144423547837","15","true","26","4.016767533513287","65","true"
"27","3.677471532860957","15","true","27","4.004649819204274","65","true"
"28","3.7115945610722516","15","true","28","3.9945444654755837","65","true"
"29","3.5188153492721663","15","true","29","3.978686828268803","65","true"
"30","3.5712914699012663","15","true","30","3.9655450425150103","65","true"
"31","3.4741001611345066","15","true","31","3.95018738997187","65","true"
"32","3.474855941561573","15","true","32","3.93578340668671","65","true"
"33","3.6089817368505877","15","true","33","3.926171592868001","65","true"
"34","3.405343611410318","15","true","34","3.91129079339778","65","true"
"35","3.411811890767819","15","true","35","3.897416379435834","65","true"
"36","3.4103510376371227","15","true","36","3.8842524512791123","65","true"
"37","3.4193970041246002","15","true","37","3.8720194131961003","65","true"
"38","3.7958045851695794","15","true","38","3.870065186836448","65","true"
"39","3.220660390886534","15","true","39","3.8538300669377015","65","true"
"40","3.15839013785234","15","true","40","3.8368681174478145","65","true"
"41","3.0897698268788045","15","true","41","3.819080062910455","65","true"
"42","3.179479422648901","15","true","42","3.8042056294160007","65","true"
"43","3.0423429859428275","15","true","43","3.7868905693370647","65","true"
"44","3.037959280206548","15","true","44","3.770247651800832","65","true"
"45","3.030920384360227","15","true","45","3.754175319899948","65","true"
"46","3.0232251223486206","15","true","46","3.738623188037152","65","true"
"47","2.8893757770525417","15","true","47","3.7209305336416385","65","true"
"48","2.9067613637944723","15","true","48","3.704314836297819","65","true"
"49","2.8658108642474036","15","true","49","3.687544756856812","65","true"
"50","2.858206419921909","15","true","50","3.6712832208384807","65","true"
"51","2.834422125178074","15","true","51","3.6551897382296272","65","true"
"52","2.8036086315696256","15","true","52","3.639122170179439","65","true"
"53","2.7935875483554824","15","true","53","3.6234641216271437","65","true"
"54","3.008554978748892","15","true","54","3.612283955392994","65","true"
"55","2.668026570228222","15","true","55","3.5954222163721954","65","true"
"56","2.6705310459530858","15","true","56","3.5791960554876483","65","true"
"57","2.670579401678882","15","true","57","3.563530251111635","65","true"
"58","2.667694233065722","15","true","58","3.548346589788824","65","true"
