"export-plot data (NetLogo 6.4.0)"
"Traffic_improved_simple.nlogo"
"03/06/2025 22:35:33:275 +0100"

"MODEL SETTINGS"
"fp-ticks?","batch-size","memory-size","train?","stop-penalty","acceleration","fp-exp?","exploration-rate","number-of-cars","deceleration","exploration-decay-rate","discount","learning-rate"
"false","128","123000","true","0.027","0.0053","true","1","25","0.0056","0.01","0.9","0.001"

"""Emissions Over Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","5000","0","5","false","""Current Emissions""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""Current Emissions""","true","0","1","15","5000"
"""Average Emissions""","true","0","1","65","5000"

"""Current Emissions""",,,,"""Average Emissions"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true","0","0","65","true"
"1","3.7256873700917206","15","true","1","1.8628436850458603","65","true"
"2","3.7402208799758982","15","true","2","2.488636083355873","65","true"
"3","3.7452741802551137","15","true","3","2.8027956075806824","65","true"
"4","3.7409638310729014","15","true","4","2.990429252279127","65","true"
"5","3.762370912651232","15","true","5","3.119086195674477","65","true"
"6","3.7183184885159406","15","true","6","3.204690808937543","65","true"
"7","3.665229398319795","15","true","7","3.2622581326103246","65","true"
"8","3.6016584923257366","15","true","8","3.2999692836898142","65","true"
"9","3.602630916183405","15","true","9","3.3302354469391737","65","true"
"10","3.5836456882281644","15","true","10","3.353272741601809","65","true"
"11","3.514638523901552","15","true","11","3.3667198901267885","65","true"
"12","3.5121962961466124","15","true","12","3.3779103828975447","65","true"
"13","3.509543467047166","15","true","13","3.3873127460510895","65","true"
"14","3.501442181607223","15","true","14","3.394921375088164","65","true"
"15","3.493155972866063","15","true","15","3.4010610374492836","65","true"
"16","3.4974153845282396","15","true","16","3.406728940218634","65","true"
"17","3.4902409892351454","15","true","17","3.411368498497329","65","true"
"18","3.488836901369762","15","true","18","3.415445782859036","65","true"
"19","3.4919553088243904","15","true","19","3.4192712591573047","65","true"
"20","3.4976322377167537","15","true","20","3.423002734326804","65","true"
"21","3.501331834385616","15","true","21","3.4265631479658425","65","true"
"22","3.505941140081472","15","true","22","3.4300143650143475","65","true"
"23","3.4422634282534816","15","true","23","3.4305247426493115","65","true"
"24","3.3546766324346073","15","true","24","3.4274908182407238","65","true"
"25","3.3133856074839145","15","true","25","3.4231021562885386","65","true"
"26","3.277539291790354","15","true","26","3.417710939084901","65","true"
"27","3.263699074223109","15","true","27","3.4122105153398374","65","true"
"28","3.2820513157390914","15","true","28","3.4077222670777436","65","true"
"29","3.208003154276952","15","true","29","3.401064963317718","65","true"
"30","3.18481300013068","15","true","30","3.3940890935374908","65","true"
"31","3.155540244504588","15","true","31","3.386634442005212","65","true"
"32","3.1229534689930385","15","true","32","3.3786441094896915","65","true"
"33","3.102312254898884","15","true","33","3.3705167020017255","65","true"
"34","3.082718239105363","15","true","34","3.362293888776115","65","true"
"35","3.076064596077601","15","true","35","3.3543430750900454","65","true"
"36","3.0772938064328783","15","true","36","3.3468552570182304","65","true"
"37","3.06981683955781","15","true","37","3.33956477234822","65","true"
"38","3.0693099350423165","15","true","38","3.3326351611352494","65","true"
"39","3.0720066883605726","15","true","39","3.326119449315881","65","true"
"40","3.0610945712826325","15","true","40","3.319655427900434","65","true"
"41","3.0495445411369144","15","true","41","3.3132242163108274","65","true"
"42","3.0520247572288075","15","true","42","3.3071498102856625","65","true"
"43","3.0515415396585874","15","true","43","3.3013405314077744","65","true"
"44","3.051876089801438","15","true","44","3.2957968771498543","65","true"
"45","3.072142728264006","15","true","45","3.290934830434945","65","true"
"46","3.058774112507258","15","true","46","3.2859952406918027","65","true"
"47","3.059561104991285","15","true","47","3.2812778628647084","65","true"
"48","3.0526442245780046","15","true","48","3.2766118702466107","65","true"
"49","3.055543146547408","15","true","49","3.272190495772627","65","true"
"50","3.0715442018950676","15","true","50","3.268256254716203","65","true"
"51","3.0779767837362604","15","true","51","3.264597034120435","65","true"
"52","3.0421374605172664","15","true","52","3.2603996836750935","65","true"
"53","2.9659208430064816","15","true","53","3.2549463718108593","65","true"
